indiv	rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
PAGC61033_S40	SUPER__22	1	17753772	2042525	17541207	98.8027	16.2948	36.3	54.5
PAGC61033_S40	SUPER__23	1	2327365	272617	2294595	98.592	16.6894	36.2	55.1
PAGC61034_S43	SUPER__1	1	244374582	40087082	240260468	98.3165	23.5437	35.9	52.9
PAGC61034_S43	SUPER__2	1	212563729	36823136	210667100	99.1077	24.8119	35.9	54.8
PAGC61034_S43	SUPER__3	1	211792393	36736068	209711659	99.0176	24.854	35.9	54.3
PAGC61034_S43	SUPER__4	1	121730464	11457368	119729396	98.3561	13.2629	35.9	49.2
PAGC61034_S43	SUPER__5	1	113776203	18796278	111117030	97.6628	23.6909	35.9	54
PAGC61034_S43	SUPER__6	1	111457381	19460779	110755771	99.3705	25.1117	35.9	55.8
PAGC61034_S43	SUPER__7	1	98951147	17069749	97416899	98.4495	24.756	35.9	55.1
PAGC61034_S43	SUPER__8	1	93510542	16150466	92679372	99.1111	24.8821	35.9	55.5
PAGC61034_S43	SUPER__9	1	91912741	15798650	91054723	99.0665	24.7353	35.9	56.1
PAGC61034_S43	SUPER__10	1	84231690	14439371	83047933	98.5946	24.5742	35.9	54.5
PAGC61034_S43	SUPER__11	1	83622935	14545888	82688812	98.8829	24.8391	35.9	54.1
PAGC61034_S43	SUPER__12	1	81635540	14165392	80679327	98.8287	24.9691	35.9	53.3
PAGC61034_S43	SUPER__13	1	72972725	12335122	71818569	98.4184	24.2923	35.9	51.4
PAGC61034_S43	SUPER__14	1	61507012	10342947	59736699	97.1218	23.6074	35.8	50.3
PAGC61034_S43	SUPER__15	1	60856427	10579204	60295084	99.0776	24.8838	35.9	55.1
PAGC61034_S43	SUPER__16	1	55580494	9679470	55290713	99.4786	24.9944	35.9	56.3
PAGC61034_S43	SUPER__17	1	54681234	9077193	53528718	97.8923	23.7378	35.9	54.1
PAGC61034_S43	SUPER__18	1	52719951	9071803	52233752	99.0778	24.72	35.9	56.2
PAGC61034_S43	SUPER__19	1	43711415	7503679	43261279	98.9702	24.6486	35.9	56.1
PAGC61034_S43	SUPER__20	1	28462450	4825358	28128061	98.8252	24.2149	35.9	55.5
PAGC61034_S43	SUPER__21	1	25775296	3508750	23718399	92.0199	19.2603	35.8	37.7
PAGC61034_S43	SUPER__22	1	17753772	3051421	17597237	99.1183	24.3692	35.9	54.2
PAGC61034_S43	SUPER__23	1	2327365	396390	2306063	99.0847	24.2442	35.8	55.2
PAGC61042_S41	SUPER__1	1	244374582	36094564	239991860	98.2066	21.2087	36.4	52.4
PAGC61042_S41	SUPER__2	1	212563729	32808473	210457035	99.0089	22.1076	36.3	54.8
PAGC61042_S41	SUPER__3	1	211792393	32693417	209548447	98.9405	22.1121	36.3	54.3
PAGC61042_S41	SUPER__4	1	121730464	10212034	119457556	98.1328	11.8236	36.3	49.4
PAGC61042_S41	SUPER__5	1	113776203	16789513	110840896	97.4201	21.1661	36.4	54
PAGC61042_S41	SUPER__6	1	111457381	17333266	110778735	99.3911	22.366	36.4	55.7
PAGC61042_S41	SUPER__7	1	98951147	15125696	97419279	98.4519	21.9275	36.4	55.2
PAGC61042_S41	SUPER__8	1	93510542	14370896	92568376	98.9924	22.142	36.4	55.4
PAGC61042_S41	SUPER__9	1	91912741	14135264	91041205	99.0518	22.1316	36.4	56.1
